record_id,seller_id,seller_name,buyer_id,property_type,neighborhood,city,state,latitude,longitude,area_m2,bedrooms,bathrooms,parking_spots,year_built,furnished,condo_fee,price,sale_date,buyer_notes
db23c9da-3867-4e1c-bd31-dc27b38f1fc2,S-010,Camila Rodrigues,B-AFE11CBE,house,Jabaquara,São Paulo,sp,-23.640232,-46.649065,255.9,3,1,2,1976,True,0.0,2822166.56,2025-10-11,"Very interested, likely to make an offer."
8bbbde15-d9c7-4ea5-893f-c16b5fba15a2,S-011,Bruno Oliveira,B-279CDEE8,commercial,Itaim Bibi,São Paulo,Sao Paulo,-23.584831,-46.672567,197.6,0,1,1,2019,True,765.79,2491027.14,2024-07-13,Prefers newly renovated units only.
f44dc6b1-8f34-4e9b-8f62-81fee626ac68,S-001,Carlos Mendes,,penthouse,Alto de Pinheiros,São Paulo,São Paulo,-23.542393,-46.713255,338.3,4,3,2,1990,True,857.38,6387507.06,,
e69463a3-05ec-436c-9c5e-8bec8e61a319,S-019,Eduardo Cunha,,studio,Penha,São Paulo,Sao Paulo,-23.527716,-46.542169,27.1,0,1,1,2016,True,760.38,283598.98,,
dee50781-219e-415e-a25e-cfe29a32a48c,S-007,Diego Alves,,studio,Sacomã,São Paulo,SP,-23.603955,-46.586303,46.0,0,1,2,2023,True,2438.86,240001.73,,
3356e0ee-e655-48e5-910e-08610161daf7,S-008,Patrícia Nunes,B-0B3A0239,studio,Sacomã,São Paulo,São Paulo,-23.603458,-46.591442,49.9,0,1,3,1994,False,627.13,286925.33,2024-06-17,Requested details on condo fees.
f1cb1b60-dd2c-4930-bcad-9d656181e1f3,S-010,Camila Rodrigues,B-B2E18524,penthouse,Higienópolis,São Paulo,sp,-23.534836,-46.657257,299.3,3,4,2,2000,True,815.97,7109534.04,2026-10-13,Asked about pet policy in the building.
79d88cf4-5fad-4b75-9425-a8d801860366,S-013,Gustavo Pereira,B-5766CE9D,commercial,Vila Leopoldina,São Paulo,São Paulo,-23.531639,-46.733303,151.1,0,1,1,1994,False,1309.03,1215023.54,2023-07-09,Prefers newly renovated units only.
11a57ea3-e37e-4806-98ef-171c55574fef,S-013,Gustavo Pereira,B-9A7DF3F1,penthouse,Vila Guilherme,São Paulo,Sp,-23.510035,-46.595672,191.1,3,3,1,1997,True,1161.31,1714596.23,2026-03-03,Prefers ground floor due to mobility issues.
4e40014e-e52a-4bcb-aff2-2d1f3780e7d5,S-001,Carlos Mendes,B-B80581A4,penthouse,Paraíso,São Paulo,SP,-23.578018,-46.647938,197.5,5,3,2,1984,True,364.73,0,2023-09-19,"Interested in the view, wants to negotiate price."
e7496904-d6cf-4728-87f2-bc86e50213af,S-011,Bruno Oliveira,,studio,Morumbi,São Paulo,Sao Paulo,-23.621118,-46.719021,39.0,0,1,1,1979,False,2064.82,807861.65,,
f3bc0b2c-7286-42b8-b677-7e79d21e2693,S-019,Eduardo Cunha,B-530BD726,penthouse,Casa Verde,São Paulo,S.Paulo,-23.511854,-46.650212,264.7,3,2,1,2022,False,1722.59,2084810.97,2023-04-23,Concerned about noise from nearby avenue.
2762f418-4d53-4f63-930b-c0c0ac4796cc,S-013,Gustavo Pereira,B-60E40F82,house,Vila Madalena,São Paulo,São Paulo,-23.550258,-46.697129,300.8,3,2,0,1986,False,0.0,5925132.78,2023-03-24,Prefers ground floor due to mobility issues.
9896b614-5c15-465d-b103-5125b6fa7fd3,S-019,Eduardo Cunha,,penthouse,Itaim Bibi,São Paulo,SP,-23.586273,-46.674446,185.3,3,2,0,1993,False,2464.51,3015804.89,,
9c46c6d7-ca72-4a91-a18f-8fce4ea90566,S-012,Larissa Santos,B-6D44AB45,studio,Paraíso,São Paulo,sp,-23.576774,-46.647901,35.3,0,1,1,1991,False,1574.89,552152.65,2025-09-23,Wants to schedule a second visit with spouse.
2933fb51-97b5-4fca-bc49-b81db0cee74a,S-009,Rafael Cardoso,B-ECC32B61,house,Cursino,São Paulo,Sao Paulo,-23.611347,-46.619483,0,4,2,0,1991,True,0.0,2493005.36,2024-05-28,Looking for a property near public transport.
53d1baeb-f2ea-4f50-9c39-75ad698996d9,S-012,Larissa Santos,,apartment,Consolação,São Paulo,S.Paulo,-23.556483,-46.650881,0,1,1,3,2010,True,923.81,3833264.3,,
7ae5e4aa-1836-4485-84ba-b5b87f9fc81d,S-003,Roberto Souza,B-7EDDD262,apartment,Jardins,São Paulo,Sp,-23.574376,-46.653394,197.3,2,1,2,1987,False,1421.71,4849108.28,2026-06-16,Wants to schedule a second visit with spouse.
20def578-c1ab-4d28-a0ab-1117e4d97cb3,S-001,Carlos Mendes,B-0D959D26,penthouse,Jardins,São Paulo,S.Paulo,-23.571672,-46.656479,154.2,5,2,3,1975,False,2117.12,2792891.42,2026-11-17,Concerned about noise from nearby avenue.
fe3cdcf0-077a-4159-868a-72a9f439a8c6,S-006,Juliana Martins,B-F1DDCDEC,penthouse,Butantã,São Paulo,sp,-23.577457,-46.731305,254.9,4,3,1,1996,True,1632.89,2968462.01,2024-02-27,Looking for a property near public transport.
f6907537-1342-4a7e-9356-6846bac64e1a,S-019,Eduardo Cunha,B-28EEBFA2,apartment,Cidade Ademar,São Paulo,São Paulo,-23.657828,-46.658449,107.2,2,1,0,2004,True,597.76,358432.48,2026-11-12,Wants to schedule a second visit with spouse.
cb7c9e82-4ccd-4b05-9558-bd7fcfb77180,S-003,Roberto Souza,,studio,Penha,São Paulo,SP,-23.521194,-46.538766,36.4,0,1,0,2015,True,1828.92,223042.42,,
c965714c-ec46-4c81-a417-f539a1bfdc3e,S-009,Rafael Cardoso,,commercial,Jabaquara,São Paulo,sp,-23.651275,-46.639233,55.0,0,1,3,2021,False,2466.04,647708.63,,
1d625a66-cc8d-4485-9942-34aa07275ad3,S-016,Aline Gomes,B-51C7105F,penthouse,Mandaqui,São Paulo,SP,-23.482011,-46.639212,-5,5,4,2,1979,False,423.28,2944394.39,2026-11-24,Requested details on condo fees.
e0ff368a-3010-4fbe-af8c-712431ed3632,S-007,Diego Alves,,studio,Sapopemba,São Paulo,S.Paulo,-23.602725,-46.515287,37.2,0,1,3,1993,False,1175.9,147087.69,,
26762422-9f13-4872-9519-d60401eb6fd2,S-008,Patrícia Nunes,B-9C5C3B43,house,Penha,São Paulo,sp,-23.524514,-46.540556,172.2,2,2,0,1984,False,0.0,1510947.23,2023-05-02,Asked about pet policy in the building.
5f39ffff-dae0-4c5e-84ba-176b8edaebea,S-010,Camila Rodrigues,B-2C0F9D0E,house,Cambuci,São Paulo,São Paulo,-23.564144,-46.624826,316.7,4,2,1,2014,False,0.0,3356215.87,2026-03-03,Looking for a property near public transport.
f5545b93-375e-4061-9c0c-2961bea35569,S-020,Isabela Moreira,B-2596CE90,penthouse,Alto de Pinheiros,São Paulo,sp,-23.538796,-46.714156,316.9,4,4,2,2020,True,1749.78,7042769.03,2026-12-08,Wants to schedule a second visit with spouse.
50040681-d00d-46fd-88fc-942b611d7f02,S-004,Fernanda Costa,B-BEF16BC0,apartment,Pirituba,São Paulo,Sao Paulo,-23.481604,-46.711872,144.0,2,2,1,2002,True,438.4,487930.52,2025-06-25,Prefers ground floor due to mobility issues.
e4a9f8e7-5f1f-47c3-86ce-bc54727ebf23,S-015,Thiago Barbosa,B-DCF32A39,commercial,Pirituba,São Paulo,sp,-23.489744,-46.725072,346.1,0,1,0,1986,False,2338.27,1636497.86,2023-11-12,Wants to schedule a second visit with spouse.
adf256c4-edb7-4b08-b285-ec1e9e3f0e48,S-004,Fernanda Costa,B-31826606,studio,Brás,São Paulo,sp,-23.538614,-46.620845,47.3,0,1,0,1984,False,2188.8,336815.5,2024-12-11,Looking for a property near public transport.
eaff9863-aebe-43cf-86ce-789e5dfc9231,S-001,Carlos Mendes,B-812FAC9A,commercial,Cidade Ademar,São Paulo,sp,-23.66738,-46.662256,32.6,0,1,2,2024,True,2387.63,149096.01,2026-10-08,Wants to schedule a second visit with spouse.
4037d873-ffd9-4379-b343-66fdc3affe01,S-019,Eduardo Cunha,B-680389A7,commercial,Jardins,São Paulo,SP,-23.565768,-46.652977,119.8,0,1,3,1989,True,1453.81,2292612.12,2025-12-26,Concerned about noise from nearby avenue.
38165dc7-6070-4356-ae94-82d45409744f,S-014,Vanessa Teixeira,,penthouse,Brooklin,São Paulo,sp,-23.624699,-46.697434,319.0,4,2,1,1977,False,1130.03,3005626.87,,
f3f18d0b-f8b5-4026-a1e9-3375a140f94e,S-014,Vanessa Teixeira,,commercial,Bela Vista,São Paulo,sp,-23.562332,-46.643883,56.3,99,1,1,2023,False,2365.24,803743.93,,
0fd224cb-a5ab-4cbd-9572-3f590ed83789,S-006,Juliana Martins,B-D876C7C7,studio,Casa Verde,São Paulo,Sp,-23.502355,-46.660726,50.6,0,1,2,2019,False,569.41,416523.64,2023-11-24,Needs parking for two cars.
3c08f054-edfb-42e3-bd43-437ddb8187c8,S-006,Juliana Martins,B-9210EB99,studio,Brooklin,São Paulo,sp,-23.610892,-46.691875,48.8,0,1,2,2012,True,2083.62,358865.79,2025-10-22,Requested details on condo fees.
71987e10-6bf9-488d-a063-8f361b1d048d,S-018,Renata Freitas,,studio,Santo André,São Paulo,Sp,-23.671773,-46.538337,49.2,0,1,3,2006,True,1425.75,149594.54,,
b818df93-2c07-47a1-bef8-f423dbb7a7e7,S-010,Camila Rodrigues,B-EBEE5722,commercial,Butantã,São Paulo,Sao Paulo,-23.5688,-46.738856,,0,1,2,1976,True,2011.11,945827.44,2023-07-07,"Very interested, likely to make an offer."
2cd94477-97b5-496d-93d8-6c6174dcc676,S-019,Eduardo Cunha,,studio,Tatuapé,São Paulo,S.Paulo,-23.546074,-46.567905,35.7,0,1,2,2010,True,2078.61,345773.65,,
40597cc5-ffb2-4b08-ab8f-accc806b6e8a,S-016,Aline Gomes,B-4E91CA2B,house,Sapopemba,São Paulo,São Paulo,-23.611163,-46.526756,286.1,3,1,1,2024,True,0.0,1236658.55,2026-11-24,Needs parking for two cars.
08afd9e3-f180-40e9-9852-84cf4ea26d74,S-014,Vanessa Teixeira,B-855C819B,apartment,Vila Andrade,São Paulo,Sao Paulo,-23.636844,-46.731384,46.4,2,1,0,2006,False,345.35,181718.22,2023-05-28,Requested details on condo fees.
bdfacdc1-591e-400a-b4ce-361ccd604465,S-015,Thiago Barbosa,B-7EF5B353,commercial,Casa Verde,São Paulo,São Paulo,-23.509926,-46.661244,348.5,0,1,0,2002,True,1165.9,2768066.88,2024-12-14,Looking for a property near public transport.
2fdcc69c-4930-4968-9077-1312bdf3d16b,S-008,Patrícia Nunes,B-CF608D9D,house,Vila Andrade,São Paulo,sp,-23.641165,-46.722671,276.2,5,2,2,1986,False,0.0,1046372.73,2026-06-27,"Very interested, likely to make an offer."
73242ee3-b008-4e0e-a5a9-fa9df0d60a0c,S-002,Ana Paula Lima,B-7506F92B,apartment,Sacomã,São Paulo,São Paulo,-23.604198,-46.586707,196.8,1,1,3,1976,True,1380.93,1042393.7,2024-10-08,Looking for a property near public transport.
f95a5e0f-8c7b-4eb9-bfaa-a0540481670a,S-016,Aline Gomes,B-8F1CDB33,apartment,Liberdade,São Paulo,Sao Paulo,-23.560572,-46.629763,192.7,2,1,3,2001,False,512.74,2211472.74,2026-05-15,"Very interested, likely to make an offer."
a5f98ae6-a87f-482f-ac7d-8ae5f6f62b1e,S-004,Fernanda Costa,B-4F559D4E,apartment,Consolação,São Paulo,Sp,-23.544625,-46.650798,124.6,1,1,1,2014,True,1188.23,2617971.62,2025-05-08,"Very interested, likely to make an offer."
2884c6c7-1647-4f5a-85b3-a8bb8c390ae2,S-009,Rafael Cardoso,B-18D551E7,house,Vila Leopoldina,São Paulo,Sao Paulo,-23.527958,-46.736596,209.4,5,3,3,1991,False,0.0,2383971.85,2023-04-18,Wants to schedule a second visit with spouse.
138ab170-aa8f-46e5-a9fc-c459f4a2e91d,S-006,Juliana Martins,B-E23AE02A,house,Vila Guilherme,São Paulo,São Paulo,-23.512027,-46.597619,289.3,3,3,3,1993,True,0.0,2072631.85,2026-01-04,"Very interested, likely to make an offer."
b5eb0e35-30f6-4098-8170-f97e0e122d13,S-019,Eduardo Cunha,B-F2975931,apartment,Alto de Pinheiros,São Paulo,São Paulo,-23.537118,-46.719987,48.4,2,1,1,1987,False,1335.69,-1000,2025-06-08,Concerned about noise from nearby avenue.
f27766a1-5a5a-4544-978e-8f971532ba6f,S-020,Isabela Moreira,,house,Cidade Dutra,São Paulo,SP,-23.693792,-46.668437,84.5,-1,1,3,1996,False,0.0,267843.89,,
5e65f604-7c96-47e0-a427-3e054d7a9ed5,S-019,Eduardo Cunha,B-E12C6AD5,apartment,Campo Belo,São Paulo,S.Paulo,-23.617496,-46.658274,57.6,2,1,3,2019,False,1900.91,851695.41,2024-05-02,Asked about pet policy in the building.
74da6848-824b-4df2-b30f-63e4bb229632,S-009,Rafael Cardoso,B-9A0ADE08,house,Higienópolis,São Paulo,São Paulo,-23.548934,-46.663338,328.4,3,3,0,1996,False,0.0,6899902.91,2025-03-07,Wants to schedule a second visit with spouse.
c4f133c8-30e6-42b9-9cb3-7c2dfa36822e,S-019,Eduardo Cunha,,apartment,Tatuapé,São Paulo,SP,-23.545935,-46.574861,143.7,2,2,1,1976,True,1707.89,1430622.24,,
08efa809-4564-466d-ab63-dbad33206b26,S-013,Gustavo Pereira,,commercial,Morumbi,São Paulo,Sao Paulo,-23.616836,-46.726369,380.7,0,1,1,2008,False,646.39,,,
eb03fb28-1159-499a-baf1-dd702d7208a1,S-020,Isabela Moreira,B-707EBCC6,commercial,Moema,São Paulo,sp,-23.59259,-46.659943,197.8,0,1,3,2011,False,2136.13,2381816.78,2025-09-18,Asked about pet policy in the building.
7642a8eb-80b2-4f7c-b1fe-0a7c4f4f451b,S-012,Larissa Santos,B-03F2F658,studio,Vila Andrade,São Paulo,SP,-23.642747,-46.719488,48.1,0,1,1,2005,True,2181.27,194851.34,2026-12-16,Concerned about noise from nearby avenue.
58da321e-b168-49b6-879d-be3de895dddf,S-003,Roberto Souza,B-63B00F14,commercial,Butantã,São Paulo,SP,-23.565379,-46.732688,0,0,1,1,1984,False,1044.81,4258747.58,2025-12-06,Asked about pet policy in the building.
c0bd4482-25e7-4a2d-ab5d-9a2059ae919b,S-014,Vanessa Teixeira,B-7E890973,apartment,Cidade Dutra,São Paulo,Sao Paulo,-23.703884,-46.663168,165.2,1,2,3,1989,False,1234.94,820242.0,2023-12-23,Asked about pet policy in the building.
be2917db-58de-462b-a179-1d5a58cc544a,S-019,Eduardo Cunha,B-2744F4BB,commercial,Vila Andrade,São Paulo,Sao Paulo,-23.634738,-46.720019,144.6,0,1,0,2011,True,1298.71,515665.62,2025-08-04,Wants to schedule a second visit with spouse.
6547a2c2-288d-424f-be85-eed6ec6e0e7f,S-010,Camila Rodrigues,B-38125FE2,apartment,Vila Andrade,São Paulo,Sp,-23.644311,-46.723287,130.8,1,2,0,2017,True,2136.89,650395.45,2024-01-07,Needs parking for two cars.
69aaa776-62ab-42ba-8a24-84e8768ec36d,S-007,Diego Alves,,penthouse,Liberdade,São Paulo,Sp,-23.564047,-46.629367,335.8,4,4,3,2018,True,435.3,2800742.15,,
83ce213a-0c5b-4724-bc3e-d83751775052,S-015,Thiago Barbosa,,house,Itaim Bibi,São Paulo,S.Paulo,-23.579668,-46.67245,250.7,5,3,2,1992,False,0.0,5875725.63,,
b029861f-a423-43cb-829f-246bc0641bb8,S-016,Aline Gomes,,penthouse,Jabaquara,São Paulo,Sao Paulo,-23.642286,-46.638778,252.8,5,4,0,2013,False,1708.83,1968547.64,,
e0103760-821a-4648-9c5d-88f7b35e7caf,S-018,Renata Freitas,,penthouse,Jardins,São Paulo,S.Paulo,-23.576583,-46.660517,132.8,4,2,1,2017,True,1860.51,2125963.44,,
1877dc95-b594-49cb-ab1e-45f421480589,S-014,Vanessa Teixeira,B-8FC1CBC0,apartment,Perdizes,São Paulo,Sao Paulo,-23.531461,-46.667112,120.9,4,3,2,1985,True,2123.92,-500,2024-05-15,Wants to schedule a second visit with spouse.
29d1c0c4-b792-4d2b-8102-eb306bed058d,S-019,Eduardo Cunha,B-0337FD16,house,Mandaqui,São Paulo,SP,-23.485163,-46.630704,346.1,5,2,3,1993,False,0.0,3045683.51,2024-03-02,Asked about pet policy in the building.
c995418f-dcdb-4cf2-b2a5-ca6814c63c37,S-016,Aline Gomes,B-585D8C5A,commercial,Pinheiros,São Paulo,Sp,-23.563765,-46.695546,202.5,0,1,2,1983,False,2475.73,3856447.62,2024-03-21,Asked about pet policy in the building.
532f6af2-8b75-4811-9dfb-827e6c541a48,S-018,Renata Freitas,B-5C8BC051,commercial,Vila Andrade,São Paulo,Sao Paulo,-23.637594,-46.720771,85.8,0,1,0,1978,False,1445.82,435054.21,2023-07-13,"Very interested, likely to make an offer."
b3247eae-07c4-40d8-a481-9d9a56bacf5d,S-011,Bruno Oliveira,B-EF6EB027,studio,Liberdade,São Paulo,São Paulo,-23.556252,-46.639685,50.7,0,1,2,2021,False,1369.89,346143.96,2024-04-26,Looking for a property near public transport.
963b6606-fe00-4a32-a23b-c63995d93df5,S-013,Gustavo Pereira,B-BBAA6E3D,commercial,Vila Leopoldina,São Paulo,Sp,-23.531404,-46.736174,113.6,0,1,3,1990,True,1112.35,1300462.4,2024-08-26,Asked about pet policy in the building.
a3739c56-73d3-4c0f-b66a-e14631d50a32,S-009,Rafael Cardoso,,studio,Cidade Ademar,São Paulo,São Paulo,-23.667337,-46.655896,31.7,0,1,0,1997,True,2432.8,164328.27,,
